Stadt;Insgesamt;Benzin;Diesel;Gas (einschl. bivalent);Hybrid;Elektro;Sonstige;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6;Sonstige2;Euro 1 2;Euro 2 2;Euro 3 2;Euro 4 2;Euro 5 2;Euro 6 2;Sonstige3
BADEN-WUERTTEMBERG;;;;;;;;;;;;;;;;;;;;;
RB STUTTGART;;;;;;;;;;;;;;;;;;;;;
08111  STUTTGART,STADT;293 961;180 388;109 556;1 978;;;2 039;5 853;29 518;29 999;84 424;92 830;45 825;618;210;4 498;13 068;22 218;47 740;21 266;203
08115  BOEBLINGEN;239 154;152 011;84 204;1 511;;;1 428;3 861;21 449;24 204;74 870;74 989;36 167;688;297;3 826;11 495;20 481;33 838;13 739;250
08116  ESSLINGEN;313 816;205 879;104 615;2 016;;;1 306;6 340;33 150;35 842;106 198;98 357;27 754;1 197;534;5 556;16 239;26 371;44 140;10 903;447
08117  GOEPPINGEN;155 072;100 648;52 563;1 308;;;553;2 905;16 826;18 152;54 181;49 885;10 889;593;249;3 011;8 498;14 061;21 978;4 359;244
08118  LUDWIGSBURG;313 897;210 857;99 483;2 321;;;1 236;6 081;35 466;36 916;109 053;97 586;24 374;730;243;5 053;15 270;26 348;42 142;9 871;230
08119  REMS-MURR-KREIS;249 542;166 844;80 004;1 936;;;758;5 639;30 570;30 275;86 230;72 789;19 844;907;354;5 031;13 244;21 584;31 611;7 535;325
08121  HEILBRONN,STADT;63 216;41 293;21 103;588;;;232;1 348;7 758;8 201;22 424;17 915;4 880;119;53;1 029;3 375;5 808;8 657;2 090;47
08125  HEILBRONN;219 279;139 226;77 608;1 758;;;687;4 782;26 905;26 554;74 575;62 895;20 223;1 129;332;4 371;11 902;19 480;30 699;10 158;444
08126  HOHENLOHEKREIS;76 564;42 245;33 401;731;;;187;1 733;9 810;9 771;25 811;22 258;6 138;326;176;1 879;4 848;8 079;13 764;4 475;113
08127  SCHWAEBISCH-HALL;119 386;72 003;45 694;1 389;;;300;2 644;16 067;16 155;42 771;33 732;6 078;627;287;3 449;8 094;13 058;17 499;2 924;236
08128  MAIN-TAUBER-KREIS;84 212;52 221;30 773;885;;;333;1 732;10 962;11 390;31 292;23 687;4 074;345;166;2 078;5 325;9 028;11 970;1 998;122
08135  HEIDENHEIM;77 810;50 395;26 383;846;;;186;1 410;8 524;9 579;29 248;23 743;4 406;254;115;1 415;4 208;7 906;10 693;1 875;95
08136  OSTALBKREIS;190 857;119 588;69 093;1 607;;;569;3 186;20 042;21 998;68 905;61 042;13 061;749;351;3 786;10 635;19 006;29 050;5 758;290
RB ZUSAMMEN;2 396 766;1 533 598;834 480;18 874;;;9 814;47 514;267 047;279 036;809 982;731 708;223 713;8 282;3 367;44 982;126 201;213 428;343 781;96 951;3 046
RB KARLSRUHE ;;;;;;;;;;;;;;;;;;;;;
08211  BADEN-BADEN,STADT;32 975;21 025;11 647;157;;;146;874;3 826;3 996;10 317;10 051;3 246;170;83;627;1 618;2 510;5 099;1 606;80
08212  KARLSRUHE,STADT;135 651;87 684;45 953;1 383;;;631;3 645;16 459;16 443;43 740;41 905;11 062;584;238;2 370;6 209;11 000;20 196;5 528;249
08215  KARLSRUHE;262 589;176 813;82 643;2 219;;;914;6 586;32 711;34 511;92 861;76 782;15 271;1 162;539;5 359;13 862;22 321;33 325;6 459;456
08216  RASTATT;142 563;95 568;45 559;1 037;;;399;3 829;19 355;18 935;48 657;37 608;11 986;685;357;3 406;8 268;12 233;16 532;4 299;287
08221  HEIDELBERG,STADT;58 389;37 275;20 424;452;;;238;1 802;7 138;6 821;18 477;17 889;4 908;263;110;1 159;2 642;4 664;9 129;2 536;101
08222  MANNHEIM,STADT;145 300;96 590;46 873;1 197;;;640;4 136;18 361;16 991;45 530;41 346;14 788;677;258;2 240;6 235;10 656;19 639;7 335;231
08225  NECKAR-ODENWALD-KREIS;87 990;55 624;31 366;774;;;226;1 782;10 602;11 128;32 291;26 397;4 778;343;194;1 988;5 366;8 945;12 679;1 973;145
08226  RHEIN-NECKAR-KREIS;333 726;220 907;109 188;2 520;;;1 111;8 127;39 116;39 767;113 287;103 776;24 552;1 424;681;5 861;15 503;25 976;48 771;11 462;601
08231  PFORZHEIM,STADT;57 727;38 637;18 360;497;;;233;1 270;6 720;7 356;19 936;17 205;4 441;164;64;919;2 889;5 232;7 423;1 725;58
08235  CALW;96 049;60 261;34 599;895;;;294;1 814;10 249;11 612;33 407;29 799;7 698;361;195;2 058;5 758;9 604;13 901;2 782;156
08236  ENZKREIS;122 957;83 003;38 491;1 116;;;347;2 729;14 316;15 755;43 792;37 067;7 361;458;200;2 352;6 450;10 822;15 621;2 746;168
08237  FREUDENSTADT;70 961;42 780;27 409;536;;;236;1 213;7 341;8 504;25 596;22 483;4 937;290;133;1 597;4 340;7 706;11 366;2 084;110
RB ZUSAMMEN;1 546 877;1 016 167;512 512;12 783;;;5 415;37 807;186 194;191 819;527 891;462 308;115 028;6 581;3 052;29 936;79 140;131 669;213 681;50 535;2 642
RB FREIBURG;;;;;;;;;;;;;;;;;;;;;
08311  FREIBURG I.BREISG.STADT;88 595;54 842;32 473;789;;;491;2 802;12 491;12 177;28 995;24 664;5 585;593;275;2 224;5 200;8 315;12 970;3 001;306
08315  BREISGAU-HOCHSCHWARZWALD;148 235;95 578;50 951;1 072;;;634;4 299;19 745;20 426;52 775;41 294;6 758;969;468;3 654;8 947;14 604;19 767;2 850;460
08316  EMMENDINGEN;93 820;62 362;30 348;781;;;329;2 715;13 807;13 302;34 105;24 363;3 859;589;272;2 231;5 651;9 021;11 154;1 630;270
08317  ORTENAUKREIS;253 834;167 262;84 287;1 689;;;596;7 489;36 341;36 143;90 089;67 305;12 462;1 395;810;6 712;15 624;23 682;31 155;5 402;580
08325  ROTTWEIL;87 457;54 478;32 163;595;;;221;1 636;8 858;10 428;32 358;27 722;5 154;436;189;1 831;5 162;9 162;13 330;2 195;179
08326  SCHWARZWALD-BAAR-KREIS;122 901;79 978;41 619;879;;;425;2 222;12 302;14 374;44 484;39 899;7 711;626;253;2 474;6 694;11 005;17 741;3 091;227
08327  TUTTLINGEN;81 251;50 190;30 290;560;;;211;1 381;7 074;9 382;28 750;27 795;5 838;341;201;1 609;4 626;7 997;13 151;2 505;145
08335  KONSTANZ;150 911;106 459;42 536;1 350;;;566;3 573;18 252;19 446;54 903;43 289;8 714;918;427;3 334;7 586;10 569;16 866;3 181;391
08336  LOERRACH;130 547;91 433;37 815;568;;;731;3 353;15 675;16 799;46 440;38 429;7 655;538;344;2 791;6 397;9 810;15 213;2 793;195
08337  WALDSHUT;100 904;69 337;30 726;444;;;397;2 087;10 887;13 192;36 662;30 927;5 593;547;201;2 034;5 132;7 998;13 006;2 064;200
RB ZUSAMMEN;1 258 455;831 919;413 208;8 727;;;4 601;31 557;155 432;165 669;449 561;365 687;69 329;6 952;3 440;28 894;71 019;112 163;164 353;28 712;2 953
RB TUEBINGEN;;;;;;;;;;;;;;;;;;;;;
08415  REUTLINGEN;169 015;107 151;59 828;1 555;;;481;3 087;18 006;19 871;59 850;54 201;11 507;564;256;3 368;9 327;16 683;25 053;4 705;249
08416  TUEBINGEN;117 022;72 256;43 053;1 340;;;373;2 281;13 196;14 342;41 452;36 161;7 857;440;210;2 525;6 809;11 754;17 892;3 516;183
08417  ZOLLERNALBKREIS;119 613;75 835;42 461;988;;;329;2 002;11 952;13 946;42 803;39 417;7 761;484;195;2 541;6 534;11 871;18 022;3 002;191
08421  ULM,STADT;62 842;37 323;24 755;540;;;224;1 005;5 561;6 505;21 226;21 279;6 382;156;70;920;2 889;6 139;11 244;3 368;61
08425  ALB-DONAU-KREIS;117 817;73 580;43 038;999;;;200;2 010;11 838;14 097;45 149;36 322;6 603;443;178;2 302;6 897;13 502;17 119;2 747;178
08426  BIBERACH;119 683;73 323;45 123;903;;;334;1 923;12 488;15 109;46 160;36 207;6 070;519;241;2 621;7 601;13 926;17 724;2 704;196
08435  BODENSEEKREIS;128 982;83 847;43 691;938;;;506;2 932;15 607;16 421;44 280;37 533;9 471;850;415;3 496;7 728;10 968;16 546;4 016;343
08436  RAVENSBURG;165 924;102 249;61 982;1 254;;;439;3 193;19 279;22 119;60 982;48 816;8 621;1 000;500;4 810;11 333;17 434;23 485;3 800;413
08437  SIGMARINGEN;79 601;48 587;29 939;758;;;317;1 414;8 776;10 091;29 699;24 365;4 136;374;183;1 987;5 029;8 865;11 798;1 843;161
RB ZUSAMMEN;1 080 499;674 151;393 870;9 275;;;3 203;19 847;116 703;132 501;391 601;334 301;68 408;4 830;2 248;24 570;64 147;111 142;158 883;29 701;1 975
LAND INSGESAMT;6 282 597;4 055 835;2 154 070;49 659;;;23 033;136 725;725 376;769 025;2 179 035;1 894 004;476 478;26 645;12 107;128 382;340 507;568 402;880 698;205 899;10 616
BAYERN;;;;;;;BAYERN;;;;;;;BAYERN;;;;;;;
RB OBERBAYERN;;;;;;;;;;;;;;;;;;;;;
09161  INGOLSTADT,STADT;94 398;55 010;37 606;581;;;1 201;1 663;7 875;7 502;22 203;23 528;26 568;3 584;198;1 728;3 980;5 885;11 339;12 888;1 484
09162  MUENCHEN,STADT;705 476;407 863;287 868;3 993;;;5 752;17 436;59 221;66 742;189 042;218 485;131 358;6 604;1 609;10 162;28 294;51 133;117 879;75 344;2 203
09163  ROSENHEIM,STADT;33 143;20 528;12 235;275;;;105;631;3 272;3 898;11 341;10 807;2 642;106;94;811;1 977;2 887;5 146;1 220;43
09171  ALTOETTING;65 487;42 633;22 120;441;;;293;1 134;6 554;7 932;24 159;20 979;3 804;275;175;1 432;3 669;5 835;9 371;1 444;114
09172  BERCHTESGADENER LAND;60 744;39 475;20 750;334;;;185;1 085;5 623;6 694;21 985;20 273;3 889;323;169;1 354;3 461;5 260;8 810;1 492;119
09173  BAD TOELZ-WOLFRATSHAUSEN;75 060;44 966;29 255;592;;;247;1 411;7 228;9 094;26 186;25 036;4 642;456;229;1 980;4 812;7 420;12 424;2 122;177
09174  DACHAU;84 353;54 042;29 268;761;;;282;1 632;8 244;10 408;30 916;26 484;5 245;405;208;1 624;4 722;8 084;12 411;1 970;149
09175  EBERSBERG;77 697;47 662;29 198;555;;;282;1 289;7 073;8 637;26 924;26 469;5 880;386;168;1 516;4 203;7 504;12 859;2 702;151
09176  EICHSTAETT;77 254;46 641;29 835;648;;;130;1 585;9 178;9 035;27 102;24 556;4 466;302;214;2 278;5 403;7 684;12 267;1 778;109
09177  ERDING;81 549;49 601;30 932;633;;;383;1 412;7 902;9 830;29 953;26 565;4 765;239;185;1 806;4 908;8 611;13 170;2 043;110
09178  FREISING;100 863;59 309;40 326;881;;;347;1 984;10 283;12 539;34 855;32 603;6 832;564;287;2 387;6 272;10 595;16 929;3 541;209
09179  FUERSTENFELDBRUCK;115 988;75 440;39 223;907;;;418;2 435;11 654;13 799;41 622;37 042;7 420;556;316;2 259;6 182;10 259;16 796;3 010;244
09180  GARMISCH-PARTENKIRCHEN;49 306;31 650;17 074;401;;;181;1 083;4 990;6 015;17 192;16 065;3 070;288;208;1 393;2 852;4 061;7 087;1 303;127
09181  LANDSBERG AM LECH;74 593;44 761;28 757;770;;;305;1 475;7 481;8 971;26 352;23 986;4 846;501;200;1 802;4 442;7 324;12 170;2 522;205
09182 MIESBACH ;61 688;37 082;23 980;425;;;201;1 212;5 443;6 940;20 401;21 650;4 672;356;159;1 408;3 689;5 595;10 623;2 298;129
09183 MUEHLDORF A.INN ;68 040;43 233;23 976;523;;;308;1 298;7 525;8 804;25 231;20 329;3 906;328;189;1 710;4 265;6 620;9 446;1 544;143
09184 MUENCHEN ;219 472;123 095;93 894;1 191;;;1 292;3 793;16 053;20 540;62 516;85 516;26 848;914;357;3 197;9 686;16 335;47 836;15 967;326
09185 NEUBURG-SCHROBENHAUSEN ;59 801;36 765;22 390;499;;;147;1 281;7 389;7 872;21 769;17 319;3 260;310;130;1 624;4 045;6 237;8 702;1 484;105
09186 PFAFFENHOFEN A.D.ILM ;76 385;45 158;30 200;835;;;192;1 574;8 458;9 557;27 230;23 810;4 512;401;218;2 099;5 020;8 210;12 419;2 020;150
09187 ROSENHEIM ;157 979;98 248;58 022;1 137;;;572;3 094;15 655;19 028;57 064;50 483;9 566;992;441;3 968;9 952;15 215;23 806;4 106;356
09188 STARNBERG ;82 887;50 354;31 645;505;;;383;1 769;6 973;8 859;26 381;29 345;7 231;528;191;1 597;4 402;7 071;14 717;3 362;187
09189 TRAUNSTEIN ;107 899;68 128;38 587;824;;;360;2 126;10 820;12 994;39 517;34 147;6 268;445;377;2 727;6 710;10 200;15 706;2 468;184
09190 WEILHEIM-SCHONGAU ;81 588;51 024;29 521;792;;;251;1 838;8 994;10 624;29 361;24 777;4 353;449;290;2 314;5 317;7 789;11 504;1 912;206
RB ZUSAMMEN ;2 611 650;1 572 668;1 006 662;18 503;;;13 817;54 240;243 888;286 314;839 302;840 254;286 043;19 312;6 612;53 176;138 263;225 814;423 417;148 540;7 230
RB NIEDERBAYERN ;;;;;;;;;;;;;;;;;;;;;
09261 LANDSHUT,STADT ;34 525;21 661;12 470;266;;;128;624;3 325;4 093;12 223;10 954;2 803;144;83;641;1 870;3 241;5 260;1 269;62
09262 PASSAU,STADT ;26 324;16 711;9 345;135;;;133;480;2 547;2 897;8 549;9 277;2 230;103;62;489;1 307;1 995;4 392;1 015;57
09263 STRAUBING,STADT ;25 879;16 726;8 905;186;;;62;464;2 631;3 047;9 165;8 138;2 077;101;34;439;1 300;2 197;3 882;992;33
09271 DEGGENDORF ;72 355;44 472;26 946;813;;;124;1 122;7 133;8 561;27 182;23 589;4 013;272;123;1 418;4 099;7 359;11 994;1 803;96
09272 FREYUNG-GRAFENAU ;48 807;29 609;18 826;307;;;65;928;5 567;5 714;18 121;15 414;2 592;148;87;1 033;3 088;5 381;7 955;1 194;51
09273 KELHEIM ;73 556;43 202;29 291;943;;;120;1 205;7 373;8 945;27 168;23 608;4 244;366;138;1 594;4 710;8 303;12 390;1 971;133
09274 LANDSHUT ;98 986;58 422;39 217;980;;;367;1 796;10 780;12 850;36 649;30 088;5 479;508;235;2 557;6 453;10 993;16 096;2 580;202
09275 PASSAU ;117 997;77 214;39 835;690;;;258;2 140;13 539;13 757;44 560;36 365;6 321;457;212;2 464;6 596;11 254;16 537;2 531;150
09276 REGEN ;46 757;28 777;17 448;364;;;168;726;4 395;4 916;17 424;16 309;2 486;200;87;904;2 560;4 846;7 851;1 107;55
09277 ROTTAL-INN ;76 970;48 080;28 053;611;;;226;1 452;9 169;9 845;28 959;22 304;4 119;400;155;1 921;4 800;7 720;11 317;1 923;137
09278 STRAUBING-BOGEN ;63 404;39 177;23 450;605;;;172;1 116;6 324;7 856;24 566;19 684;3 009;260;138;1 367;3 801;6 862;9 785;1 357;88
09279 DINGOLFING-LANDAU ;61 498;36 209;24 551;575;;;163;1 164;6 566;7 827;21 940;17 227;5 883;366;148;1 432;3 825;6 631;9 280;3 073;108
RB ZUSAMMEN ;747 058;460 260;278 337;6 475;;;1 986;13 217;79 349;90 308;276 506;232 957;45 256;3 325;1 502;16 259;44 409;76 782;116 739;20 815;1 172
RB OBERPFALZ ;;;;;;;;;;;;;;;;;;;;;
09361 AMBERG,STADT ;23 757;15 580;7 909;162;;;106;399;2 263;2 625;8 569;7 986;1 626;91;44;362;1 102;2 020;3 587;740;36
09362 REGENSBURG,STADT ;73 388;44 483;27 793;758;;;354;1 279;6 396;7 556;24 007;25 747;7 320;327;157;1 310;3 533;6 110;12 897;3 625;120
09363 WEIDEN I.D.OPF.,STADT ;25 027;16 352;8 430;188;;;57;407;2 466;2 676;8 515;8 857;1 789;77;45;409;1 114;1 885;4 077;851;21
09371 AMBERG-SULZBACH ;66 006;42 204;23 065;546;;;191;1 118;7 005;7 699;25 584;20 699;3 002;260;118;1 336;3 523;6 708;9 904;1 308;98
09372 CHAM ;82 510;52 434;29 047;909;;;120;1 385;8 951;9 608;31 909;25 857;3 795;353;141;1 675;4 682;8 641;12 225;1 524;108
09373 NEUMARKT I.D.OPF. ;81 249;49 632;30 693;697;;;227;1 273;7 433;8 919;30 019;27 594;4 788;399;154;1 471;4 399;8 165;14 122;2 189;127
09374 NEUSTADT A.D.WALDNAAB ;61 588;39 915;21 058;501;;;114;956;6 268;6 830;23 971;19 747;3 144;280;100;1 246;3 229;6 079;8 964;1 283;112
09375 REGENSBURG ;117 654;73 214;42 607;1 495;;;338;1 724;10 212;13 125;44 088;40 270;6 802;476;221;2 303;6 516;11 583;18 921;2 822;172
09376 SCHWANDORF ;92 935;57 029;34 482;1 250;;;174;1 465;8 959;10 125;35 296;30 851;5 089;401;175;1 707;4 898;9 687;15 374;2 430;142
09377 TIRSCHENREUTH ;46 399;31 360;14 678;297;;;64;751;4 381;4 542;18 105;15 765;2 410;170;67;744;2 093;4 036;6 682;968;54
RB ZUSAMMEN ;670 513;422 203;239 762;6 803;;;1 745;10 757;64 334;73 705;250 063;223 373;39 765;2 834;1 222;12 563;35 089;64 914;106 753;17 740;990
RB OBERFRANKEN ;;;;;;;;;;;;;;;;;;;;;
09461 BAMBERG,STADT ;37 834;23 868;13 471;371;;;124;908;4 770;4 686;12 174;11 849;2 746;223;109;984;2 111;3 001;5 803;1 342;82
09462 BAYREUTH,STADT ;37 390;24 223;12 740;292;;;135;746;3 616;3 957;12 593;12 812;3 171;153;76;601;1 714;2 821;5 897;1 542;56
09463 COBURG,STADT ;24 677;15 420;8 954;225;;;78;417;2 275;2 421;7 754;8 953;2 418;104;33;341;977;1 625;4 553;1 370;30
09464 HOF,STADT ;23 625;16 741;6 628;182;;;74;347;2 131;2 283;7 848;8 516;2 240;82;29;340;927;1 427;3 104;762;23
09471 BAMBERG ;95 081;61 679;32 313;882;;;207;1 837;11 668;12 014;35 466;28 569;4 275;470;208;2 267;5 549;9 081;13 174;1 812;161
09472 BAYREUTH ;67 857;44 376;22 791;551;;;139;1 186;7 161;7 458;25 686;21 966;3 598;323;128;1 368;3 547;6 446;9 711;1 440;107
09473 COBURG ;55 302;38 717;15 891;571;;;123;965;6 196;5 951;20 586;17 804;3 049;240;84;1 017;2 527;4 089;6 980;1 075;73
09474 FORCHHEIM ;73 626;47 803;25 001;612;;;210;1 451;8 385;9 036;27 753;22 185;3 746;393;178;1 649;4 220;7 016;10 072;1 684;135
09475 HOF ;60 763;41 433;18 633;585;;;112;941;5 368;5 246;21 150;22 827;4 490;271;96;913;2 412;4 485;8 988;1 613;90
09476 KRONACH ;43 310;29 082;13 829;327;;;72;704;4 464;4 410;16 212;14 583;2 427;184;71;840;2 107;3 662;6 155;916;51
09477 KULMBACH ;47 201;30 920;15 667;473;;;141;946;5 114;5 189;17 068;15 577;2 665;230;95;958;2 377;4 110;6 805;1 199;89
09478 LICHTENFELS ;42 095;28 581;13 136;316;;;62;824;5 024;4 866;16 218;12 566;2 092;163;68;932;2 190;3 658;5 415;792;55
09479 WUNSIEDEL I.FICHTELGEB. ;44 905;31 255;13 204;331;;;115;684;3 952;4 325;15 724;16 729;2 886;175;67;631;1 774;3 132;6 448;1 061;55
RB ZUSAMMEN ;653 666;434 098;212 258;5 718;;;1 592;11 956;70 124;71 842;236 232;214 936;39 803;3 011;1 242;12 841;32 432;54 553;93 105;16 608;1 007
RB MITTELFRANKEN ;;;;;;;;;;;;;;;;;;;;;
09561 ANSBACH,STADT ;23 750;14 882;8 522;264;;;82;426;2 686;2 943;8 347;7 290;1 745;84;40;549;1 335;2 086;3 515;951;23
09562 ERLANGEN,STADT ;52 845;33 650;18 573;393;;;229;1 180;5 724;6 191;18 044;16 999;3 778;182;146;1 085;2 879;4 490;8 003;1 798;67
09563 FUERTH,STADT ;59 393;40 015;18 653;454;;;271;1 172;6 411;7 031;20 929;18 697;4 317;234;116;1 150;2 959;4 678;7 869;1 714;91
09564 NUERNBERG,STADT ;235 325;151 291;81 485;1 520;;;1 029;5 122;25 847;28 224;77 700;75 164;19 415;1 020;572;4 729;12 185;18 662;35 190;9 428;419
09565 SCHWABACH,STADT ;24 321;16 326;7 723;145;;;127;666;2 610;2 840;8 218;7 679;1 642;233;76;449;1 225;1 849;3 297;719;65
09571 ANSBACH ;115 770;72 595;41 819;1 149;;;207;2 453;14 821;15 587;42 992;33 137;5 054;633;290;3 101;7 421;12 248;16 180;2 229;228
09572 ERLANGEN-HOECHSTADT ;85 986;54 421;30 573;675;;;317;1 710;9 092;10 085;30 522;27 203;5 773;423;195;1 763;4 824;7 808;12 815;2 899;155
09573 FUERTH ;72 200;49 445;22 001;512;;;242;1 488;7 500;8 236;26 540;23 113;4 213;332;161;1 281;3 634;5 839;9 334;1 548;126
09574 NUERNBERGER LAND ;103 304;67 560;34 653;746;;;345;2 107;10 410;11 712;36 409;34 060;6 866;557;252;1 945;5 147;8 747;15 278;2 946;216
09575 NEUSTADT/AISCH-WINDSHEIM ;61 969;37 527;23 634;602;;;206;1 361;8 045;8 531;23 079;17 449;2 589;341;167;1 809;4 277;7 145;8 914;1 164;104
09576 ROTH ;80 793;50 767;29 199;582;;;245;1 690;8 864;9 818;28 662;26 048;4 460;403;215;1 886;4 828;7 678;12 357;1 989;163
09577 WEISSENBURG-GUNZENHAUSEN ;57 871;36 504;20 737;509;;;121;1 325;7 366;7 747;21 184;16 764;2 640;322;193;1 549;3 768;5 770;8 106;1 154;127
RB ZUSAMMEN ;973 527;624 983;337 572;7 551;;;3 421;20 700;109 376;118 945;342 626;303 603;62 492;4 764;2 423;21 296;54 482;87 000;140 858;28 539;1 784
RB UNTERFRANKEN ;;;;;;;;;;;;;;;;;;;;;
09661 ASCHAFFENBURG,STADT ;42 639;26 520;15 467;424;;;228;900;4 817;4 864;13 020;12 499;5 876;161;67;746;1 925;3 194;6 240;3 192;58
09662 SCHWEINFURT,STADT ;26 962;16 929;9 566;325;;;142;589;3 348;3 537;8 994;7 878;2 209;102;67;568;1 502;2 127;4 025;1 191;39
09663 WUERZBURG,STADT ;61 920;38 851;21 952;860;;;257;1 456;7 084;7 562;20 239;19 248;4 907;341;175;1 263;3 312;5 024;9 559;2 395;138
09671 ASCHAFFENBURG ;111 171;72 435;37 373;1 062;;;301;2 322;13 004;13 662;39 683;34 200;6 686;452;193;2 053;5 561;10 209;16 090;3 031;147
09672 BAD KISSINGEN;66 206;41 245;23 966;848;;;147;1 347;8 591;8 781;25 331;18 440;2 799;325;171;1 659;4 188;7 224;9 256;1 259;147
09673 RHOEN-GRABFELD;51 188;30 348;19 948;695;;;197;931;6 117;6 927;19 845;14 574;2 141;278;108;1 331;3 372;5 900;8 069;1 038;85
09674 HASSBERGE ;54 986;32 714;21 383;793;;;96;976;7 256;7 370;20 905;15 624;2 109;290;114;1 601;3 734;6 303;8 477;993;103
09675 KITZINGEN ;57 054;36 318;19 823;696;;;217;1 359;8 539;7 975;20 664;15 059;2 600;288;151;1 589;3 673;5 629;7 450;1 145;118
09676 MILTENBERG ;79 829;50 876;27 900;781;;;272;1 655;10 250;10 788;29 214;22 895;3 910;310;165;1 767;4 785;8 034;11 172;1 783;115
09677 MAIN-SPESSART ;80 990;50 545;29 128;1 095;;;222;1 591;10 119;10 671;29 613;23 646;4 176;345;186;1 942;4 998;8 398;11 545;1 861;129
09678 SCHWEINFURT ;74 006;48 633;24 068;1 100;;;205;1 580;9 805;10 164;28 386;20 079;2 979;343;211;1 867;4 461;7 030;9 186;1 098;146
09679 WUERZBURG ;100 282;64 758;33 781;1 377;;;366;1 923;11 909;12 811;36 849;29 940;5 221;485;247;2 286;5 675;9 294;13 914;2 055;187
RB ZUSAMMEN ;807 233;510 172;284 355;10 056;;;2 650;16 629;100 839;105 112;292 743;234 082;45 613;3 720;1 855;18 672;47 186;78 366;114 983;21 041;1 412
RB SCHWABEN ;;;;;;;;;;;;;;;;;;;;;
09761 AUGSBURG,STADT ;129 486;85 487;41 696;1 564;;;739;2 579;13 091;15 174;43 690;41 321;11 640;522;213;2 039;5 994;10 225;17 892;4 957;217
09762 KAUFBEUREN,STADT ;22 746;14 950;7 467;235;;;94;406;2 229;2 667;8 298;7 337;1 459;92;58;445;1 200;2 042;3 086;549;42
09763 KEMPTEN(ALLGAEU),STADT ;36 566;22 861;13 206;310;;;189;520;3 347;4 116;12 144;12 872;3 035;198;77;708;1 886;3 056;6 023;1 330;82
09764 MEMMINGEN,STADT ;24 255;15 257;8 716;225;;;57;421;2 406;2 996;8 628;7 768;1 681;79;47;456;1 381;2 235;3 693;848;26
09771 AICHACH-FRIEDBERG ;80 270;51 715;27 460;801;;;294;1 580;8 449;9 846;29 216;25 088;4 811;360;181;1 773;4 538;7 454;11 310;1 973;148
09772 AUGSBURG ;152 972;101 971;48 832;1 433;;;736;2 918;15 376;18 025;54 521;49 755;9 859;693;352;2 691;7 630;13 032;21 013;3 648;292
09773 DILLINGEN A.D.DONAU ;60 048;38 964;20 334;580;;;170;1 135;6 642;7 903;23 046;17 657;2 827;185;125;1 263;3 491;6 030;8 064;1 198;70
09774 GUENZBURG ;77 142;48 460;27 909;589;;;184;1 287;7 944;9 453;29 182;24 175;4 070;334;113;1 374;4 329;8 144;11 874;1 894;104
09775 NEU-ULM ;101 521;67 074;33 436;834;;;177;1 731;10 332;11 662;38 630;30 855;6 847;292;118;1 697;5 105;9 812;13 703;2 765;112
09776 LINDAU (BODENSEE) ;48 782;31 994;16 292;351;;;145;1 046;5 832;6 308;17 620;14 285;2 668;270;167;1 297;2 932;4 201;6 391;1 107;100
09777 OSTALLGAEU ;84 344;53 134;29 999;905;;;306;1 601;8 823;10 698;30 774;26 811;4 260;539;272;2 199;5 329;7 914;12 169;1 798;218
09778 UNTERALLGAEU ;89 771;56 769;31 992;752;;;258;1 750;10 025;11 433;34 467;26 675;4 020;369;208;2 108;5 390;9 411;12 786;1 848;135
09779 DONAU-RIES ;85 186;53 344;30 852;704;;;286;1 718;10 547;11 313;31 447;24 376;4 690;379;194;2 171;5 378;8 887;11 828;2 150;162
