Stationscode;Name / Messnetz;Stationsumgebung;Art der Station;Jahres-mittelwert* in µg/m³;"Zahl** der Stundenwerte 
> 200 µg/m³"
;Baden-Württemberg;;;;
DEBW029;Aalen;vorstädtisches Gebiet;Hintergrund;23;0
DEBW076;Baden-Baden;vorstädtisches Gebiet;Hintergrund;16;0
DEBW042;Bernhausen;vorstädtisches Gebiet;Hintergrund;31;0
DEBW046;Biberach;vorstädtisches Gebiet;Hintergrund;18;0
DEBW004;Eggenstein;ländlich stadtnah;Hintergrund;24;0
DEBW154;Freiberg Benninger Straße;vorstädtisches Gebiet;Verkehr;45;---
DEBW084;Freiburg;städtisches Gebiet;Hintergrund;19;0
DEBW122;Freiburg Schwarzwaldstraße (V);städtisches Gebiet;Verkehr;56;0
DEBW127;Freiburg Zähringer Straße (S);städtisches Gebiet;Verkehr;41;---
DEBW038;Friedrichshafen;städtisches Gebiet;Hintergrund;26;0
DEBW112;Gaertringen;vorstädtisches Gebiet;Hintergrund;15;0
DEBW009;Heidelberg;städtisches Gebiet;Hintergrund;27;0
DEBW151;Heidelberg Mittermaierstraße (S);städtisches Gebiet;Verkehr;45;---
DEBW145;Heidenheim Wilhelmstraße (S);vorstädtisches Gebiet;Verkehr;48;---
DEBW015;Heilbronn;städtisches Gebiet;Hintergrund;30;0
DEBW152;Heilbronn Weinsberger Straße Ost (S);städtisches Gebiet;Verkehr;64;3
DEBW135;Herrenberg Hindenburger Straße (S);städtisches Gebiet;Verkehr;52;---
DEBW133;Ilsfeld König-Wilhelm-Straße (S);vorstädtisches Gebiet;Verkehr;46;---
DEBW148;Ingersheim Tiefengasse (S);vorstädtisches Gebiet;Verkehr;41;---
DEBW080;Karlsruhe_Reinhold-Frank-Strasse;städtisches Gebiet;Verkehr;45;1
DEBW081;Karlsruhe-Nordwest;städtisches Gebiet;Hintergrund;24;0
DEBW022;Kehl;vorstädtisches Gebiet;Industrie;26;0
DEBW052;Konstanz;städtisches Gebiet;Hintergrund;23;0
DEBW120;Leonberg Grabenstraße (S);städtisches Gebiet;Verkehr;47;0
DEBW024;Ludwigsburg;vorstädtisches Gebiet;Hintergrund;27;0
DEBW117;Ludwigsburg Friedrichstraße (S);städtisches Gebiet;Verkehr;58;3
DEBW098;Mannheim_Friedrichsring;städtisches Gebiet;Verkehr;47;3
DEBW005;Mannheim-Nord;vorstädtisches Gebiet;Industrie;28;0
DEBW142;Markgröningen Grabenstraße (S);vorstädtisches Gebiet;Verkehr;44;---
DEBW198;Mögglingen Hauptstraße;vorstädtisches Gebiet;Verkehr;43;---
DEBW128;Mühlacker Stuttgarter Straße (S);vorstädtisches Gebiet;Verkehr;54;---
DEBW073;Neuenburg;vorstädtisches Gebiet;Hintergrund;20;0
DEBW125;Pfinztal Karlsruher Straße (S);vorstädtisches Gebiet;Verkehr;40;0
DEBW033;Pforzheim;städtisches Gebiet;Hintergrund;27;0
DEBW130;Pforzheim Jahnstraße (S);städtisches Gebiet;Verkehr;42;---
DEBW121;Pleidelsheim Beihinger Straße (S);städtisches Gebiet;Verkehr;49;---
DEBW027;Reutlingen;städtisches Gebiet;Hintergrund;27;0
DEBW147;Reutlingen Lederstraße Ost (S);städtisches Gebiet;Verkehr;70;3
DEBW156;Schramberg Oberndorfer Straße;städtisches Gebiet;Verkehr;44;0
DEBW155;Schwäbisch Gmünd, Remsstraße (S);städtisches Gebiet;Verkehr;44;---
DEBW056;Schwäbisch_Hall;vorstädtisches Gebiet;Hintergrund;20;0
DEBW087;Schwäbische_Alb;ländlich regional;Hintergrund;8;0
DEBW031;Schwarzwald-Süd;ländlich regional;Hintergrund;4;0
DEBW225;Steinheim an der Murr;städtisches Gebiet;Verkehr;53;---
DEBW118;Stuttgart Am Neckartor (S);städtisches Gebiet;Verkehr;87;61
DEBW013;Stuttgart Bad Cannstatt;städtisches Gebiet;Hintergrund;32;0
DEBW116;Stuttgart Hohenheimer Straße (S);städtisches Gebiet;Verkehr;77;15
DEBW134;Stuttgart Waiblinger Straße;städtisches Gebiet;Verkehr;49;---
DEBW099;Stuttgart_Arnulf-Klett-Platz;städtisches Gebiet;Verkehr;62;0
DEBW059;Tauberbischofsheim;vorstädtisches Gebiet;Hintergrund;14;0
DEBW107;Tübingen;vorstädtisches Gebiet;Hintergrund;22;0
DEBW137;Tübingen-Unterjesingen Jesinger Hauptstraße (S);ländlich stadtnah;Verkehr;45;---
DEBW019;Ulm;städtisches Gebiet;Hintergrund;29;0
DEBW039;Villingen-Schwenningen;vorstädtisches Gebiet;Hintergrund;15;0
DEBW144;Walzbachtal-Jöhlingen Bahnhofstraße (S);vorstädtisches Gebiet;Verkehr;46;---
DEBW023;Weil am Rhein;vorstädtisches Gebiet;Hintergrund;18;0
DEBW157;Wendlingen Stuttgarter Strasse;städtisches Gebiet;Verkehr;40;---
DEBW010;Wiesloch;vorstädtisches Gebiet;Hintergrund;20;0
;Bayern;;;;
DEBY109;Andechs/Rothenfeld;ländlich regional;Hintergrund;7;0
DEBY001;Ansbach/Residenzstraße;städtisches Gebiet;Verkehr;33;0
DEBY005;Aschaffenburg/Bussardweg;vorstädtisches Gebiet;Hintergrund;30;0
DEBY007;Augsburg/Bourges-Platz;städtisches Gebiet;Hintergrund;28;0
DEBY110;Augsburg/Karlstraße;städtisches Gebiet;Verkehr;49;0
DEBY006;Augsburg/Königsplatz;städtisches Gebiet;Verkehr;30;0
DEBY099;Augsburg/LfU;vorstädtisches Gebiet;Hintergrund;19;0
DEBY122;Bad Hindelang/Oberjoch;ländlich regional;Hintergrund;6;0
DEBY009;Bamberg/Löwenbrücke;städtisches Gebiet;Hintergrund;23;0
DEBY111;Bayreuth/Hohenzollernring;städtisches Gebiet;Verkehr;31;0
DEBY124;Burgbernheim/Grüne Au;ländlich regional;Hintergrund;12;0
DEBY012;Burghausen/Marktler Straße;vorstädtisches Gebiet;Hintergrund;23;0
DEBY113;Erlangen/Kraepelinstraße;vorstädtisches Gebiet;Hintergrund;18;0
DEBY123;Garmisch-Partenkirchen/Am Herrgottschrofen;ländlich stadtnah;Hintergrund;16;0
DEBY020;Hof/LfU;vorstädtisches Gebiet;Hintergrund;16;0
DEBY021;Ingolstadt/Rechbergstraße;städtisches Gebiet;Verkehr;27;0
DEBY028;Kelheim/Regensburger Straße;städtisches Gebiet;Verkehr;23;0
DEBY031;Kempten (Allgäu)/Westendstraße;vorstädtisches Gebiet;Hintergrund;22;0
DEBY004;Kleinwallstadt/Hofstetter Straße;ländlich stadtnah;Hintergrund;17;0
DEBY032;Kulmbach/Konrad-Adenauer-Straße;städtisches Gebiet;Hintergrund;19;0
DEBY033;Landshut/Podewilsstraße;städtisches Gebiet;Verkehr;29;0
DEBY035;Lindau (Bodensee)/Friedrichshafener Straße;städtisches Gebiet;Verkehr;24;0
DEBY013;Mehring/Sportplatz;ländlich regional;Hintergrund;14;0
DEBY189;München/Allach;vorstädtisches Gebiet;Hintergrund;26;0
DEBY089;München/Johanneskirchen;vorstädtisches Gebiet;Hintergrund;23;0
DEBY115;München/Landshuter Allee;städtisches Gebiet;Verkehr;84;30
DEBY039;München/Lothstraße;städtisches Gebiet;Hintergrund;33;0
DEBY037;München/Stachus;städtisches Gebiet;Verkehr;64;0
DEBY049;Neustadt a.d. Donau/Eining;ländlich regional;Hintergrund;11;0
DEBY052;Neu-Ulm/Gabelsbergerstraße;städtisches Gebiet;Hintergrund;28;0
DEBY053;Nürnberg/Bahnhof;städtisches Gebiet;Verkehr;36;0
DEBY058;Nürnberg/Muggenhof;städtisches Gebiet;Hintergrund;29;0
DEBY120;Nürnberg/Von-der-Tann-Straße;städtisches Gebiet;Verkehr;48;0
DEBY121;Oberaudorf/Inntal-Autobahn;ländlich stadtnah;Verkehr;44;0
DEBY187;Oettingen/Goethestraße;vorstädtisches Gebiet;Hintergrund;18;0
DEBY118;Passau/Stelzhamerstraße;städtisches Gebiet;Hintergrund;32;0
DEBY063;Regensburg/Rathaus;städtisches Gebiet;Verkehr;41;0
DEBY030;Saal a.d. Donau/Regensburger Straße;vorstädtisches Gebiet;Hintergrund;20;3
DEBY188;Schwabach/Angerstraße;städtisches Gebiet;Hintergrund;26;0
DEBY067;Schwandorf/Wackersdorfer Straße;vorstädtisches Gebiet;Hintergrund;22;0
DEBY068;Schweinfurt/Obertor;städtisches Gebiet;Hintergrund;25;0
DEBY072;Tiefenbach/Altenschneeberg;ländlich regional;Hintergrund;6;0
DEBY088;Trostberg/Schwimmbadstraße;vorstädtisches Gebiet;Hintergrund;19;0
DEBY075;Weiden i.d.OPf./Nikolaistraße;städtisches Gebiet;Hintergrund;25;0
DEBY119;Würzburg/Stadtring Süd;städtisches Gebiet;Verkehr;42;0
;Berlin;;;;
DEBE051;B Buch;vorstädtisches Gebiet;Hintergrund;14;0
DEBE056;B Friedrichshagen;ländlich stadtnah;Hintergrund;13;0
DEBE065;B Friedrichshain-Frankfurter Allee;städtisches Gebiet;Verkehr;41;0
DEBE062;B Frohnau, Funkturm (3.5 m);ländlich stadtnah;Hintergrund;13;0
DEBE032;B Grunewald (3.5 m);ländlich stadtnah;Hintergrund;13;0
DEBE067;B Hardenbergplatz;städtisches Gebiet;Verkehr;53;1
DEBE066;B Karlshorst-Rheingoldstr./Königswinterstr.;städtisches Gebiet;Hintergrund;20;0
DEBE069;B Mariendorf, Mariendorfer Damm;städtisches Gebiet;Verkehr;49;0
DEBE027;B Marienfelde-Schichauweg;ländlich stadtnah;Hintergrund;14;0
DEBE068;B Mitte, Brückenstraße;städtisches Gebiet;Hintergrund;27;0
DEBE064;B Neukölln-Karl-Marx-Str. 76;städtisches Gebiet;Verkehr;52;0
DEBE034;B Neukölln-Nansenstraße;städtisches Gebiet;Hintergrund;27;0
DEBE063;B Neukölln-Silbersteinstr.;städtisches Gebiet;Verkehr;52;1
DEBE018;B Schöneberg-Belziger Straße;städtisches Gebiet;Hintergrund;26;0
DEBE061;B Steglitz-Schildhornstr.;städtisches Gebiet;Verkehr;48;1
DEBE010;B Wedding-Amrumer Str.;städtisches Gebiet;Hintergrund;28;0
;Brandenburg;;;;
DEBB068;Bernau, Lohmühlenstr.;städtisches Gebiet;Verkehr;28;0
DEBB086;Blankenfelde-Mahlow;vorstädtisches Gebiet;Hintergrund;16;0
DEBB055;Brandenburg a.d. Havel;vorstädtisches Gebiet;Hintergrund;12;0
DEBB049;Brandenburg, Neuendorfer Str.;städtisches Gebiet;Verkehr;26;0
DEBB064;Cottbus;städtisches Gebiet;Hintergrund;15;0
DEBB044;Cottbus, Bahnhofstr.;städtisches Gebiet;Verkehr;35;0
DEBB087;Cottbus, W.-Külz-Str.;städtisches Gebiet;Verkehr;25;0
DEBB060;Eberswalde Breite Straße;städtisches Gebiet;Verkehr;27;0
DEBB032;Eisenhüttenstadt;vorstädtisches Gebiet;Industrie;12;0
DEBB007;Elsterwerda;vorstädtisches Gebiet;Hintergrund;14;0
DEBB092;Frankfurt (Oder);vorstädtisches Gebiet;Hintergrund;14;0
DEBB045;Frankfurt (Oder), Leipziger Str.;städtisches Gebiet;Verkehr;37;0
DEBB053;Hasenholz;ländlich regional;Hintergrund;10;0
DEBB065;Lütte (Belzig);ländlich regional;Hintergrund;7;0
DEBB067;Nauen;vorstädtisches Gebiet;Hintergrund;12;0
DEBB048;Neuruppin;vorstädtisches Gebiet;Hintergrund;15;0
DEBB075;Potsdam, Groß Glienicke;vorstädtisches Gebiet;Hintergrund;15;0
DEBB073;Potsdam, Großbeerenstr.;städtisches Gebiet;Verkehr;42;0
DEBB021;Potsdam-Zentrum;städtisches Gebiet;Hintergrund;21;0
DEBB029;Schwedt (Oder);vorstädtisches Gebiet;Industrie;11;0
DEBB066;Spreewald;ländlich regional;Hintergrund;8;0
DEBB083;Spremberg;vorstädtisches Gebiet;Hintergrund;11;0
DEBB063;Wittenberge;vorstädtisches Gebiet;Hintergrund;9;0
;Bremen;;;;
DEHB006;Bremen Verkehr 1;städtisches Gebiet;Verkehr;47;0
DEHB013;Bremen-Hasenbüren;ländlich regional;Industrie;15;0
DEHB001;Bremen-Mitte;städtisches Gebiet;Hintergrund;23;0
DEHB004;Bremen-Nord;städtisches Gebiet;Hintergrund;20;0
DEHB012;Bremen-Oslebshausen;städtisches Gebiet;Hintergrund;22;0
DEHB002;Bremen-Ost;städtisches Gebiet;Hintergrund;21;0
DEHB005;Bremerhaven;städtisches Gebiet;Hintergrund;22;0
DEHB011;Cherbourger Straße;städtisches Gebiet;Verkehr;42;0
;Hamburg;;;;
DEHH079;Hamburg Altona Elbhang;städtisches Gebiet;Hintergrund;31;0
DEHH016;Hamburg Billbrook;städtisches Gebiet;Industrie;25;0
DEHH074;Hamburg Billstedt;städtisches Gebiet;Hintergrund;31;0
DEHH049;Hamburg Blankenese-Baursberg;vorstädtisches Gebiet;Hintergrund;16;0
DEHH047;Hamburg Bramfeld;vorstädtisches Gebiet;Hintergrund;17;0
DEHH073;Hamburg Finkenwerder Airbus;ländlich stadtnah;Industrie;17;0
DEHH072;Hamburg Finkenwerder West;städtisches Gebiet;Industrie;18;0
DEHH033;Hamburg Flughafen Nord;städtisches Gebiet;Hintergrund;21;0
DEHH068;Hamburg Habichtstraße;städtisches Gebiet;Verkehr;63;7
DEHH064;Hamburg Kieler Straße;städtisches Gebiet;Verkehr;48;0
DEHH070;Hamburg Max-Brauer-Allee II (Straße);städtisches Gebiet;Verkehr;62;3
DEHH050;Hamburg Neugraben;vorstädtisches Gebiet;Hintergrund;13;0
DEHH008;Hamburg Sternschanze;städtisches Gebiet;Hintergrund;27;0
DEHH026;Hamburg Stresemannstraße;städtisches Gebiet;Verkehr;49;0
DEHH015;Hamburg Veddel;städtisches Gebiet;Industrie;34;0
DEHH059;Hamburg Wilhelmsburg;städtisches Gebiet;Hintergrund;26;0
;Hessen;;;;
DEHE046;Bad Arolsen;ländliches Gebiet;Hintergrund;9;0
DEHE032;Bebra;städtisches Gebiet;Hintergrund;15;0
DEHE133;Bensheim Nibelungenstraße;städtisches Gebiet;Verkehr;46;---
DEHE039;Burg Herzberg (Grebenau);ländliches Gebiet;Hintergrund;9;0
DEHE001;Darmstadt;städtisches Gebiet;Hintergrund;25;0
DEHE040;Darmstadt-Hügelstraße;städtisches Gebiet;Verkehr;61;57
DEHE041;Frankfurt-Friedb.Ldstr.;städtisches Gebiet;Verkehr;53;12
DEHE005;Frankfurt-Höchst;städtisches Gebiet;Hintergrund;36;0
DEHE008;Frankfurt-Ost;städtisches Gebiet;Hintergrund;34;0
DEHE058;Fulda-Mitte;städtisches Gebiet;Hintergrund;24;0
DEHE059;Fulda-Petersberger Str.;städtisches Gebiet;Verkehr;41;0
DEHE028;Fürth/Odenwald;ländliches Gebiet;Hintergrund;10;0
DEHE061;Gießen-Westanlage;städtisches Gebiet;Verkehr;45;0
DEHE011;Hanau;städtisches Gebiet;Hintergrund;24;0
DEHE063;Heppenheim-Lehrstraße;städtisches Gebiet;Verkehr;35;0
DEHE049;Kassel-Fünffenster-Str.;städtisches Gebiet;Verkehr;42;0
DEHE013;Kassel-Mitte;städtisches Gebiet;Hintergrund;22;0
DEHE060;Kellerwald;ländlich regional;Hintergrund;7;0
DEHE052;Kleiner Feldberg;ländliches Gebiet;Hintergrund;8;0
DEHE044;Limburg;städtisches Gebiet;Hintergrund;25;0
DEHE098;Limburg Diezer Str. 49;städtisches Gebiet;Verkehr;38;---
DEHE101;Limburg Frankfurter Str. 52;städtisches Gebiet;Verkehr;53;---
DEHE099;Limburg Schiede 28-30;städtisches Gebiet;Verkehr;63;---
DEHE100;Limburg Schiede 37-41;städtisches Gebiet;Verkehr;47;---
DEHE131;Limburg-Schiede;städtisches Gebiet;Verkehr;-999;23
DEHE042;Linden/Leihgestern;ländliches Gebiet;Hintergrund;19;0
DEHE030;Marburg;städtisches Gebiet;Hintergrund;25;0
DEHE062;Marburg-Univers.Straße;städtisches Gebiet;Verkehr;47;0
DEHE045;Michelstadt;städtisches Gebiet;Hintergrund;17;0
DEHE103;Offenbach Bieberer Str. 86;städtisches Gebiet;Verkehr;42;---
DEHE104;Offenbach Mainstr. 133;städtisches Gebiet;Verkehr;52;---
DEHE102;Offenbach Untere Grenzstr. 61;städtisches Gebiet;Verkehr;48;---
DEHE116;Offenbach-Untere Grenzstraße;städtisches Gebiet;Verkehr;40;0
DEHE018;Raunheim;städtisches Gebiet;Hintergrund;29;0
DEHE043;Riedstadt;ländlich stadtnah;Hintergrund;20;0
DEHE111;Rüsselsheim Rugby-Ring;städtisches Gebiet;Verkehr;42;---
DEHE026;Spessart;ländlich regional;Hintergrund;8;0
DEHE051;Wasserkuppe;ländliches Gebiet;Hintergrund;5;0
DEHE020;Wetzlar;städtisches Gebiet;Hintergrund;29;0
DEHE105;Wetzlar Linsenbergstr.;städtisches Gebiet;Hintergrund;23;---
DEHE037;Wiesbaden-Ringkirche;städtisches Gebiet;Verkehr;53;2
DEHE112;Wiesbaden-Schiersteiner Str.;städtisches Gebiet;Verkehr;53;1
DEHE022;Wiesbaden-Süd;städtisches Gebiet;Hintergrund;29;0
DEHE024;Witzenhausen/Wald;ländliches Gebiet;Hintergrund;7;0
DEHE050;Zierenberg;ländliches Gebiet;Hintergrund;9;0
;Mecklenburg-Vorpommern;;;;
DEMV026;Garz;ländliches Gebiet;Hintergrund;5;0
DEMV017;Göhlen;ländliches Gebiet;Hintergrund;7;0
DEMV004;Gülzow;ländliches Gebiet;Hintergrund;5;0
DEMV019;Güstrow;städtisches Gebiet;Hintergrund;9;0
DEMV024;Leizen;ländliches Gebiet;Hintergrund;6;0
DEMV012;Löcknitz;ländliches Gebiet;Hintergrund;7;0
DEMV003;Neubrandenburg;städtisches Gebiet;Verkehr;21;0
DEMV020;Rostock Am Strande;städtisches Gebiet;Verkehr;38;0
DEMV031;Rostock-Hohe Düne;städtisches Gebiet;Industrie;19;0
DEMV022;Rostock-Holbeinplatz;städtisches Gebiet;Verkehr;31;0
DEMV007;Rostock-Stuthof;vorstädtisches Gebiet;Hintergrund;10;0
DEMV021;Rostock-Warnemünde;städtisches Gebiet;Hintergrund;13;0
DEMV023;Schwerin-Obotritenring;städtisches Gebiet;Verkehr;22;0
DEMV025;Stralsund-Knieperdamm;städtisches Gebiet;Verkehr;18;0
DEMV027;Wolgast-Oberwallstraße;städtisches Gebiet;Verkehr;14;0
;Niedersachsen;;;;
DENI052;Allertal;vorstädtisches Gebiet;Hintergrund;13;0
DENI063;Altes Land;ländliches Gebiet;Hintergrund;14;0
DENI071;Barbis-Verkehr;vorstädtisches Gebiet;Verkehr;20;0
DENI011;Braunschweig;vorstädtisches Gebiet;Hintergrund;15;0
DENI160;Braunschweig Hildesheimer Straße;städtisches Gebiet;Verkehr;36;---
DENI008;Braunschweig Verkehr_alt;städtisches Gebiet;Verkehr;43;---
DENI075;Braunschweig-Verkehr;städtisches Gebiet;Verkehr;40;0
DENI028;Eichsfeld;vorstädtisches Gebiet;Hintergrund;12;0
DENI059;Elbmündung;ländliches Gebiet;Hintergrund;12;0
DENI043;Emsland;vorstädtisches Gebiet;Hintergrund;15;0
DENI042;Göttingen;vorstädtisches Gebiet;Hintergrund;17;0
DENI068;Göttingen-Verkehr;städtisches Gebiet;Verkehr;42;0
DENI074;Hameln-Verkehr;städtisches Gebiet;Verkehr;43;---
DENI054;Hannover;städtisches Gebiet;Hintergrund;19;0
DENI149;Hannover Bornumer Straße;städtisches Gebiet;Verkehr;49;---
DENI150;Hannover Friedrich-Ebert-Straße;städtisches Gebiet;Verkehr;57;---
DENI151;Hannover Kurt-Schumacher-Straße;städtisches Gebiet;Verkehr;39;---
DENI152;Hannover Marienstraße;städtisches Gebiet;Verkehr;54;---
DENI153;Hannover Vahrenwalder Straße;städtisches Gebiet;Verkehr;46;---
DENI048;Hannover Verkehr;städtisches Gebiet;Verkehr;49;0
DENI066;Hildesheim Verkehr;städtisches Gebiet;Verkehr;46;---
DENI031;Jadebusen;ländliches Gebiet;Hintergrund;11;0
DENI062;Lüneburger Heide;vorstädtisches Gebiet;Hintergrund;17;0
DENI016;Oker/Harlingerode;vorstädtisches Gebiet;Hintergrund;10;0
DENI143;Oldenburg Heiligengeistwall;städtisches Gebiet;Verkehr;52;0
DENI038;Osnabrück;städtisches Gebiet;Hintergrund;19;0
DENI146;Osnabrück Neuer Graben;städtisches Gebiet;Verkehr;43;---
DENI067;Osnabrück-Verkehr;städtisches Gebiet;Verkehr;50;0
DENI058;Ostfries. Inseln;ländliches Gebiet;Hintergrund;9;0
